building_2,location_2,assignment
4001,3036,1.0
4002,3036,1.0
4003,3036,1.0
4004,3036,1.0
4005,3036,1.0
4006,3036,1.0
4007,3036,1.0
4008,3036,1.0
4009,3036,1.0
4010,3036,1.0
4011,3036,1.0
4012,3036,1.0
4013,3036,1.0
4014,3036,1.0
4015,3036,1.0
4016,3036,1.0
4017,3036,1.0
4018,3036,1.0
4019,3036,1.0
4020,3036,1.0
4021,3036,1.0
4022,3036,1.0
4023,3036,1.0
4024,3036,1.0
4025,3036,1.0
4026,3036,1.0
4027,3036,1.0
4028,3036,1.0
4029,3036,1.0
4030,3036,1.0
4031,3036,1.0
4032,3036,1.0
4033,3036,1.0
4034,3036,1.0
4035,3036,1.0
4036,3036,1.0
4037,3036,1.0
4038,3036,1.0
4039,3036,1.0
4040,3036,1.0
4041,3036,1.0
4042,3036,1.0
4043,3036,1.0
4044,3036,1.0
4045,3036,1.0
4046,3036,1.0
4047,3036,1.0
4048,3036,1.0
4049,3036,1.0
4050,3036,1.0
